"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2016","2016",24,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2016","2016",4,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2016","2016",38,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2016","2016",2.8,,
"AUS","Australia","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2016","2016",29,,
"AUS","Australia","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2016","2016",2.3,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",36,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",3.4,,
"BEL","Belgium","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",39,,
"BEL","Belgium","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",2.4,,
"BEL","Belgium","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",58,,
"BEL","Belgium","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",2.2,,
"BEL","Belgium","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",47,,
"BEL","Belgium","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1.5,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",28,,
"BEL","Belgium","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",3.2,,
"BEL","Belgium","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",30,,
"BEL","Belgium","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",2.2,,
"BEL","Belgium","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",48,,
"BEL","Belgium","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",2.2,,
"BEL","Belgium","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",37,,
"BEL","Belgium","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.4,,
"CZE","Czech Republic","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",14,,
"CZE","Czech Republic","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1.1,,
"CZE","Czech Republic","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",27,,
"CZE","Czech Republic","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",2.6,,
"CZE","Czech Republic","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",17,,
"CZE","Czech Republic","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1,,
"CZE","Czech Republic","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",42,,
"CZE","Czech Republic","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.6,,
"CZE","Czech Republic","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",58,,
"CZE","Czech Republic","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",2.9,,
"CZE","Czech Republic","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",45,,
"CZE","Czech Republic","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.4,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",36,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",5.4,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",48,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",2.5,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",70,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1.9,,
"FIN","Finland","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",59,,
"FIN","Finland","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1.5,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",21,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",4.6,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",30,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",2.3,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",52,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",2.1,,
"FIN","Finland","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",41,,
"FIN","Finland","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.5,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",24,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",3.8,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",32,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",2.1,,
"FRA","France","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",54,,
"FRA","France","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",2.4,,
"FRA","France","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",41,,
"FRA","France","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1.5,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",18,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",3.5,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",23,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.9,,
"FRA","France","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",45,,
"FRA","France","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",2.4,,
"FRA","France","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",32,,
"FRA","France","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.5,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",40,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",5.4,,
"DEU","Germany","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",60,,
"DEU","Germany","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1.8,,
"DEU","Germany","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",79,,
"DEU","Germany","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1.6,,
"DEU","Germany","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",67,,
"DEU","Germany","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1.2,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",36,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",5.5,,
"DEU","Germany","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",46,,
"DEU","Germany","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.8,,
"DEU","Germany","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",61,,
"DEU","Germany","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.9,,
"DEU","Germany","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",52,,
"DEU","Germany","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.3,,
"HUN","Hungary","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",11,,
"HUN","Hungary","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",3.2,,
"HUN","Hungary","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",24,,
"HUN","Hungary","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1.6,,
"HUN","Hungary","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",30,,
"HUN","Hungary","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",3.2,,
"HUN","Hungary","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2018","2018",24,,
"HUN","Hungary","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2018","2018",1.4,,
"HUN","Hungary","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",22,,
"HUN","Hungary","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",4.3,,
"HUN","Hungary","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",31,,
"HUN","Hungary","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.8,,
"HUN","Hungary","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",43,,
"HUN","Hungary","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",3.5,,
"HUN","Hungary","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2018","2018",33,,
"HUN","Hungary","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2018","2018",1.5,,
"ISL","Iceland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2016","2016",61,,
"ISL","Iceland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2016","2016",3.8,,
"ISL","Iceland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2016","2016",68,,
"ISL","Iceland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2016","2016",2.9,,
"ISL","Iceland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2016","2016",78,,
"ISL","Iceland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2016","2016",1.9,,
"ISL","Iceland","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","VALUE","Value","2016","2016",71,,
"ISL","Iceland","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_INTEREST","""Percentage of adults who reported being interested in politics, by educational attainment""","SE","SE","2016","2016",1.5,,
"ISL","Iceland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","VALUE","Value","2016","2016",25,,
"ISL","Iceland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","ESS_ISSP_PERC_POL_EFFICACY","""Percentage of adults who reported that the political system allows having a say in what the government does, by educational attainment""","SE","SE","2016","2016",3.8,,
