"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2013","2013",162.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2014","2014",161.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2015","2015",166.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2016","2016",165.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2017","2017",166.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2018","2018",163.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2019","2019",173.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2010","2010",144.8,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2011","2011",150.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2012","2012",141.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2013","2013",142.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2014","2014",157.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2015","2015",158.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2016","2016",157.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2017","2017",157.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2018","2018",159.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2019","2019",156,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2010","2010",137.7,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2011","2011",133.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2012","2012",137,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2013","2013",137.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2014","2014",128.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2015","2015",125,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2016","2016",137.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2017","2017",140.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2018","2018",146,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2019","2019",147.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2010","2010",126.8,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2011","2011",129.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2012","2012",129.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2013","2013",131.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2014","2014",131.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2015","2015",131.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2016","2016",133.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2017","2017",133.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2018","2018",136.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","2019","2019",136.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2010","2010",133.3,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2011","2011",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2012","2012",141.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2013","2013",141.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2014","2014",142.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2015","2015",140.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2016","2016",140.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2017","2017",139.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2018","2018",140.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FIN","Finland","2019","2019",135,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2010","2010",162.7,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2011","2011",160.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2012","2012",156.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2013","2013",158.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2014","2014",149.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2015","2015",148.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2016","2016",149.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2017","2017",149.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2018","2018",149.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","FRA","France","2019","2019",151.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2010","2010",144.1,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2011","2011",145.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2012","2012",144.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2013","2013",141.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2014","2014",142.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2015","2015",143.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2016","2016",145.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2017","2017",146.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2018","2018",151.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DEU","Germany","2019","2019",149.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2010","2010",152.8,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2011","2011",154.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2012","2012",149.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2013","2013",147,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2014","2014",152.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2015","2015",148.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2016","2016",147.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2017","2017",149,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2018","2018",153.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","GRC","Greece","2019","2019",155,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2010","2010",136.7,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2011","2011",136,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2012","2012",132.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2013","2013",137.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2014","2014",138.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2015","2015",147.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2016","2016",149.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2017","2017",152,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2018","2018",157.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","HUN","Hungary","2019","2019",156.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2010","2010",145.2,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2011","2011",147.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2012","2012",148.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2013","2013",152.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2014","2014",158.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2015","2015",164.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2016","2016",164.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2017","2017",168.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2018","2018",166.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ISL","Iceland","2019","2019",170.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2010","2010",130.6,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2011","2011",130.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2012","2012",130.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2013","2013",126.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2014","2014",131.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2015","2015",136.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2016","2016",135.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2017","2017",149,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2018","2018",148.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","IRL","Ireland","2019","2019",139.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2010","2010",156.5,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2011","2011",157.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2012","2012",157.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2013","2013",154.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2014","2014",148.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2015","2015",146,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2016","2016",146.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2017","2017",146.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2018","2018",145.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ITA","Italy","2019","2019",150.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2010","2010",86.2,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2011","2011",85.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2012","2012",86.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2013","2013",86.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2014","2014",87.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2015","2015",87.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2016","2016",86.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2017","2017",89.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2018","2018",89.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","JPN","Japan","2019","2019",89.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2010","2010",101,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2011","2011",98.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2012","2012",103.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2013","2013",102.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2014","2014",109.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2015","2015",112.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2016","2016",113.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2017","2017",116.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2018","2018",119.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","KOR","Korea","2019","2019",123.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2010","2010",140.3,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2011","2011",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2012","2012",140.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2013","2013",141.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2014","2014",138,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2015","2015",139.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2016","2016",140.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2017","2017",142,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2018","2018",143.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","LUX","Luxembourg","2019","2019",144.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2010","2010",96.2,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2011","2011",96.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2012","2012",97.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2013","2013",97.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2014","2014",97.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2015","2015",98.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2016","2016",100.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2017","2017",101,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2018","2018",103.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","MEX","Mexico","2019","2019",102.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2010","2010",125,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2011","2011",122.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2012","2012",124.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2013","2013",125.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2014","2014",126.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2015","2015",128,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2016","2016",130.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2017","2017",126.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2018","2018",139.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NLD","Netherlands","2019","2019",137.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NZL","New Zealand","2010","2010",116.6,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NZL","New Zealand","2011","2011",132.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NZL","New Zealand","2012","2012",119.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NZL","New Zealand","2013","2013",124.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NZL","New Zealand","2014","2014",114.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NZL","New Zealand","2015","2015",113.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NZL","New Zealand","2016","2016",114,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NZL","New Zealand","2017","2017",113.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NZL","New Zealand","2018","2018",118.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NZL","New Zealand","2019","2019",120.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NOR","Norway","2010","2010",143.9,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NOR","Norway","2011","2011",144.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NOR","Norway","2012","2012",143.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NOR","Norway","2013","2013",140.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NOR","Norway","2014","2014",143.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NOR","Norway","2015","2015",142.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NOR","Norway","2016","2016",142,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NOR","Norway","2017","2017",138.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NOR","Norway","2018","2018",137.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","NOR","Norway","2019","2019",139.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","POL","Poland","2010","2010",121,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","POL","Poland","2011","2011",124.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","POL","Poland","2012","2012",123.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","POL","Poland","2013","2013",118.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","POL","Poland","2014","2014",119.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","POL","Poland","2015","2015",122.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","POL","Poland","2016","2016",123.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","POL","Poland","2017","2017",124.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","POL","Poland","2018","2018",128,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","POL","Poland","2019","2019",123.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","PRT","Portugal","2010","2010",138.3,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","PRT","Portugal","2011","2011",139.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","PRT","Portugal","2012","2012",135.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","PRT","Portugal","2013","2013",134.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","PRT","Portugal","2014","2014",133.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","PRT","Portugal","2015","2015",138.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","PRT","Portugal","2016","2016",134,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","PRT","Portugal","2017","2017",134,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","PRT","Portugal","2018","2018",138.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","PRT","Portugal","2019","2019",140.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SVK","Slovak Republic","2010","2010",115.8,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SVK","Slovak Republic","2011","2011",114.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SVK","Slovak Republic","2012","2012",114.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SVK","Slovak Republic","2013","2013",120.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SVK","Slovak Republic","2014","2014",118.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SVK","Slovak Republic","2015","2015",120.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SVK","Slovak Republic","2016","2016",127,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SVK","Slovak Republic","2017","2017",135.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SVK","Slovak Republic","2018","2018",139.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SVK","Slovak Republic","2019","2019",138.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ESP","Spain","2010","2010",143.6,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ESP","Spain","2011","2011",144,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ESP","Spain","2012","2012",143.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ESP","Spain","2013","2013",143.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ESP","Spain","2014","2014",141.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ESP","Spain","2015","2015",147.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ESP","Spain","2016","2016",149.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ESP","Spain","2017","2017",152.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ESP","Spain","2018","2018",152.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","ESP","Spain","2019","2019",154.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SWE","Sweden","2010","2010",129.8,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SWE","Sweden","2011","2011",132.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SWE","Sweden","2012","2012",134.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SWE","Sweden","2013","2013",130.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SWE","Sweden","2014","2014",135,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SWE","Sweden","2015","2015",136.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SWE","Sweden","2016","2016",138,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SWE","Sweden","2017","2017",135,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SWE","Sweden","2018","2018",132.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","SWE","Sweden","2019","2019",133.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CHE","Switzerland","2010","2010",156.9,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CHE","Switzerland","2011","2011",158.5,,
