"LOCATION","Country","MEA","Overall measure","VAR","Components","POP","Age","SEX","Sex","EDU","Education","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,14.073221206665,,
"IRL","Ireland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,14.5759439468384,,
"ITA","Italy","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,28.4531650543213,,
"ITA","Italy","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,14.1781797409058,,
"ITA","Italy","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,14.6667337417602,,
"JPN","Japan","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,21.9189701080322,,
"JPN","Japan","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,18.0449504852295,,
"KOR","Korea","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,18.0818881988525,,
"LUX","Luxembourg","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,14.7266864776611,,
"LUX","Luxembourg","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,15.5117359161377,,
"LUX","Luxembourg","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,11.2760381698608,,
"MEX","Mexico","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,15.4476594924927,,
"MEX","Mexico","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,16.0958366394043,,
"NLD","Netherlands","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,17.2282085418701,,
"NLD","Netherlands","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,10.2059564590454,,
"NLD","Netherlands","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,6.41171407699585,,
"NZL","New Zealand","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,11.331657409668,,
"NZL","New Zealand","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,9.08970642089844,,
"NOR","Norway","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,14.5909185409546,,
"NOR","Norway","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,5.91912841796875,,
"NOR","Norway","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,6.18312215805054,,
"POL","Poland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,12.867672920227,,
"POL","Poland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,11.4762239456177,,
"POL","Poland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,14.5605964660644,,
"PRT","Portugal","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,23.2411880493164,,
"PRT","Portugal","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,18.16916847229,,
"PRT","Portugal","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,15.316897392273,,
"SVK","Slovak Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,17.225757598877,,
"SVK","Slovak Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,12.0475168228149,,
"SVK","Slovak Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,8.73693561553955,,
"ESP","Spain","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,21.3851737976074,,
"ESP","Spain","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,21.2167625427246,,
"ESP","Spain","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,17.5806980133057,,
"SWE","Sweden","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,10.8241481781006,,
"SWE","Sweden","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,7.9963173866272,,
"SWE","Sweden","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,11.489824295044,,
"TUR","Türkiye","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,40.1127090454102,,
"TUR","Türkiye","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,32.6421051025391,,
"TUR","Türkiye","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,17.6310882568359,,
"GBR","United Kingdom","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,16.2725276947022,,
"GBR","United Kingdom","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,15.9566583633423,,
"GBR","United Kingdom","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,7.91677284240723,,
"USA","United States","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,12.9820194244385,,
"USA","United States","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,13.1765632629394,,
"EST","Estonia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,7.8963303565979,,
"EST","Estonia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,8.49824047088623,,
"EST","Estonia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,5.6917896270752,,
"ISR","Israel","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,15.0306987762451,,
"ISR","Israel","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,12.566837310791,,
"SVN","Slovenia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2005","2005","PC","Percentage","0","Units",,,15.1496057510376,,
"SVN","Slovenia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2010","2010","PC","Percentage","0","Units",,,11.0928564071655,,
"SVN","Slovenia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","HS","High skilled","2015","2015","PC","Percentage","0","Units",,,13.3804140090942,,
"AUS","Australia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,51.5559196472168,,
"AUS","Australia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,42.879566192627,,
"AUT","Austria","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,56.1202697753906,,
"AUT","Austria","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,61.1420555114746,,
"AUT","Austria","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,52.9091491699219,,
"BEL","Belgium","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,62.226936340332,,
"BEL","Belgium","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,52.7133712768555,,
"BEL","Belgium","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,41.5955772399902,,
"CAN","Canada","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,50.0061912536621,,
"CZE","Czech Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,54.1647720336914,,
"CZE","Czech Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,47.4152717590332,,
"CZE","Czech Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,39.0159759521484,,
"DNK","Denmark","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,42.7988128662109,,
"DNK","Denmark","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,28.7903461456299,,
"DNK","Denmark","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,34.7843208312988,,
"FIN","Finland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,36.5986709594727,,
"FIN","Finland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,35.205207824707,,
"FIN","Finland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,25.7857723236084,,
"FRA","France","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,55.7063827514648,,
"FRA","France","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,57.8553619384766,,
"FRA","France","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,38.2431259155273,,
"DEU","Germany","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,69.108283996582,,
"DEU","Germany","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,59.7782440185547,,
"DEU","Germany","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,52.0817451477051,,
"GRC","Greece","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,68.7979736328125,,
"GRC","Greece","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,73.4328460693359,,
"GRC","Greece","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,63.6092987060547,,
"HUN","Hungary","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,56.8842086791992,,
"HUN","Hungary","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,61.3797607421875,,
"HUN","Hungary","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,50.1655044555664,,
"IRL","Ireland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,48.963321685791,,
"IRL","Ireland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,49.0683517456055,,
"IRL","Ireland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,39.9463882446289,,
"ITA","Italy","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,54.7350540161133,,
"ITA","Italy","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,52.1743316650391,,
"ITA","Italy","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,48.7495803833008,,
"JPN","Japan","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,52.3662338256836,,
"JPN","Japan","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,44.347469329834,,
"KOR","Korea","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,63.2963790893555,,
"LUX","Luxembourg","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,47.9058876037598,,
"LUX","Luxembourg","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,56.3240165710449,,
"LUX","Luxembourg","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,44.0442504882812,,
"MEX","Mexico","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,43.5962562561035,,
"MEX","Mexico","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,39.9325675964356,,
"NLD","Netherlands","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,53.371150970459,,
"NLD","Netherlands","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,47.1650276184082,,
"NLD","Netherlands","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,46.2363510131836,,
"NZL","New Zealand","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,46.2211608886719,,
"NZL","New Zealand","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,41.6240730285644,,
"NOR","Norway","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,35.0295753479004,,
"NOR","Norway","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,31.1665439605713,,
"NOR","Norway","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,22.775297164917,,
"POL","Poland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,53.5686874389648,,
"POL","Poland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,49.8412246704102,,
"POL","Poland","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,49.4492645263672,,
"PRT","Portugal","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,62.4790153503418,,
"PRT","Portugal","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,39.7263984680176,,
"PRT","Portugal","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,51.066463470459,,
"SVK","Slovak Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,53.5767936706543,,
"SVK","Slovak Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,49.0364646911621,,
"SVK","Slovak Republic","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,46.6629600524902,,
"ESP","Spain","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,69.7056427001953,,
"ESP","Spain","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,56.6725196838379,,
"ESP","Spain","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,49.0932846069336,,
"SWE","Sweden","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,38.8805541992188,,
"SWE","Sweden","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,29.9357109069824,,
"SWE","Sweden","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,37.3868713378906,,
"TUR","Türkiye","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,68.8982391357422,,
"TUR","Türkiye","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,75.0664596557617,,
"TUR","Türkiye","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,61.8499374389648,,
"GBR","United Kingdom","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,57.0821266174316,,
"GBR","United Kingdom","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,49.145866394043,,
"GBR","United Kingdom","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,45.9529495239258,,
"USA","United States","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,49.0322494506836,,
"USA","United States","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,40.5302848815918,,
"EST","Estonia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,52.5714454650879,,
"EST","Estonia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,54.7653694152832,,
"EST","Estonia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,43.5027198791504,,
"ISR","Israel","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,62.3018951416016,,
"ISR","Israel","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,43.3856582641602,,
"SVN","Slovenia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2005","2005","PC","Percentage","0","Units",,,69.5183486938476,,
"SVN","Slovenia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2010","2010","PC","Percentage","0","Units",,,64.1370544433594,,
"SVN","Slovenia","QWE","Quality of the working environment","1","Job Strain","TP","Total","TP","Total","MS","Medium skilled","2015","2015","PC","Percentage","0","Units",,,52.3953475952148,,
